===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-04-06 17:30:45
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
125.43.246.247:9901       | 有效频道:2 | 平均: 7.32 Mbps
223.13.1.35:85            | 有效频道:1 | 平均: 0.04 Mbps
106.115.27.135:9901       | 有效频道:1 | 平均: 8.08 Mbps
110.178.210.196:9003      | 有效频道:2 | 平均: 8.54 Mbps
110.178.210.197:9003      | 有效频道:2 | 平均:  8.8 Mbps
101.66.199.151:9901       | 有效频道:2 | 平均: 3.41 Mbps
182.207.218.25:999        | 有效频道:2 | 平均: 5.08 Mbps
36.40.237.165:9999        | 有效频道:2 | 平均: 5.79 Mbps
221.13.232.126:9901       | 有效频道:1 | 平均: 7.63 Mbps
1.25.137.51:9901          | 有效频道:1 | 平均: 4.64 Mbps
116.179.159.224:9003      | 有效频道:2 | 平均: 3.98 Mbps
42.231.62.134:9901        | 有效频道:2 | 平均:  4.4 Mbps
106.115.26.73:9901        | 有效频道:1 | 平均: 6.43 Mbps
101.66.198.39:9901        | 有效频道:2 | 平均: 1.89 Mbps
101.66.198.99:9901        | 有效频道:2 | 平均: 1.18 Mbps
101.66.198.100:9901       | 有效频道:2 | 平均: 3.17 Mbps
61.185.200.60:9901        | 有效频道:2 | 平均: 1.79 Mbps
106.115.25.161:9901       | 有效频道:1 | 平均: 2.06 Mbps
183.10.180.250:212        | 有效频道:2 | 平均: 2.16 Mbps
1.192.152.130:9901        | 有效频道:2 | 平均: 7.32 Mbps
58.46.30.253:9999         | 有效频道:2 | 平均:  0.6 Mbps
123.12.187.8:9901         | 有效频道:1 | 平均: 0.53 Mbps
123.12.187.213:9901       | 有效频道:2 | 平均: 0.15 Mbps
113.90.244.203:85         | 有效频道:2 | 平均: 7.76 Mbps
1.193.22.131:85           | 有效频道:2 | 平均: 3.42 Mbps
123.10.77.159:808         | 有效频道:2 | 平均: 4.57 Mbps
123.10.77.228:808         | 有效频道:2 | 平均: 5.34 Mbps
123.13.245.230:9901       | 有效频道:2 | 平均: 7.58 Mbps
171.127.84.164:85         | 有效频道:2 | 平均: 4.45 Mbps
